_id,text
ObjectId(59fd5c2fc1668e6f02250a26),"how-do-i-create-custom-methods"" target=""_bank"">https://docs.feathersjs.com/faq/readme.html#how-do-i-create-custom-methods"
ObjectId(59fd5c2fc1668e6f02250a27),"Hi, how do I build my backend when i have already finish it on my local machine. I usually run npm run build in react apps but now i get ""npm ERR! missing script: build"" on feathersjs"
ObjectId(59fd5c2fc1668e6f02250a28),> Does feathers blob upload files through socket transport ? Not currently no. We also have a proposal up discussing streams and uploading files via sockets https://github.com/feathersjs/feathers/issues/609 > Should I handle it through hooks inside the uploads service ? Or do another service request from the client to set the entity? Depends on how you want to do it and upload/storage requirements of the file. Either way would work. Usually the flow we do when uploading to S3 is hit the uploads service which uses feathers-blob. You’ll get back either an S3 bucket path or image url. Then the client sends a create or patch to the associated service to store the bucket path or image url.
ObjectId(59fd5c2fc1668e6f02250a29),"@danielevz If you did not use import export statements on the server, your server code will run as is. If you did, (a) run Bable on it. If you don't know how to do that, look at package.json in any Feathers repo for script: { release:patch or (b) convert the import/eport to require and module.exports
Hi, how do I build my backend when i have already finish it on my local machine. I usually run npm run build in react apps but now i get ""npm ERR! missing script: build"" on feathersjs"
ObjectId(59fd5c2fc1668e6f02250a2a),"Hi all, wondering if anyone has time for a quick question... I'm about to setup auth with feathers and starting with making sure everything is using https. I have grabbed my ssl cert from letsencrypt ... what's next? How do I serve feathers as https rather than http and make it use my new cert?"
ObjectId(59fd5c2fc1668e6f02250a2b),How do I set the config var mongoClient in production?
ObjectId(59fd5c2fc1668e6f02250a2c),"Just one last question, how do I store the ID of the database record that contains the ""logged in"" user after they authorize at the provider?"
ObjectId(59fd5c2fc1668e6f02250a2d),How do I return data in a hook manually? When I used the iff and else common hooks my application doesn't return any data when the condition is met and the authenticate hook is not called.
ObjectId(59fd5c2fc1668e6f02250a2e),"Also, how do I set a unique constraint with MongoDB?"
ObjectId(59fd5c2fc1668e6f02250a2f),"hey guys, quick question. if I have a set of objects like this in my user collection { user:Id, items:[{id,content},{id:content},{id:content}] } and I want to do calls to feathers to just push, update and remove items from the items array on user, how do I do this in feathers?"
ObjectId(59fd5c2fc1668e6f02250a30),In my case I do have authentication for website and mobile user both so how to manage ? Both the authentication are different..
ObjectId(59fd5c2fc1668e6f02250a31),"hi guys, how do I access headers of a request from a service?"
ObjectId(59fd5c2fc1668e6f02250a32),"This tells me that there is no auth token on the server side, when I try to make this find call from the client side. How do I include the auth token I stored in localStorage, now?"
ObjectId(59fd5c2fc1668e6f02250a33),@brspnnng Have you had any luck on this? I was just starting to look into trying to do the same thing but have no idea how to do it.
ObjectId(59fd5c30c1668e6f02250a34),"There also is how-do-i-set-up-https"" target=""_bank"">https://docs.feathersjs.com/faq/readme.html#how-do-i-set-up-https 😉"
ObjectId(59fd5c30c1668e6f02250a35),"Another question for all, in server-side module tests I would like to simulate the population of the user by feathers authentication module, how to do that ? Do I need to generate a custom token by myself then passing it to all service calls in the tests as params manually ?"
ObjectId(59fd5c30c1668e6f02250a36),"@brspnnng On the server you can add methods to the service but they will never be exposed to the client. Usually it can be solved by either adding query parameters or a separate helper service (how-do-i-create-custom-methods"" target=""_bank"">https://docs.feathersjs.com/faq/readme.html#how-do-i-create-custom-methods should have links to further reading)."
ObjectId(59fd5c30c1668e6f02250a37),"when using the populate hook, how do I let it bypass the authenticate hook? In most cases I want roles to be private, but if a user is created I want the roles to be populated"
ObjectId(59fd5c30c1668e6f02250a38),"hey guys, little lost again ... how do I do a query for many objects with different ids? I have tried the following and many variations with no effect ... client.service(""my-mongo-collection-name"").find({ query: { _id: { $in:[""id1"", ""id2"", ""id3""] } })"
ObjectId(59fd5c30c1668e6f02250a39),"I have two questions about feathers-blob, using S3: - How can I upload to a different path using feathers-blob? The key field passed to s3-blob-store seems to always be file_hash.ext, without the possibility to add a folder path before - If I upload a Multipart file to my server, and I want to server to upload it to S3. Do I base64-encode it first on the server (as per the File uploading tutorial), pass it to feathers-blob, which himself decodes it to a buffer, and upload that buffer to S3? Looking at the code seems that it's done like this, seems like a lot of effort."
ObjectId(59fd5c30c1668e6f02250a3a),How do I get the user object client side? I tried the answer here https://github.com/feathersjs/feathers-authentication/issues/131 but didn't seem to work.
ObjectId(59fd5c30c1668e6f02250a3b),Because now it doesn't.. and I can't seem to figure out how to do just that
ObjectId(59fd5c30c1668e6f02250a3c),"@jarnojellesma - Right, but how do I now limit the module.exports version to a single service method?"
ObjectId(59fd5c30c1668e6f02250a3d),"ok, now, how do I test in the front-end if they are logged in?"
ObjectId(59fd5c30c1668e6f02250a3e),I also took a while to figure out the frontend authentication part. But when I first found out how to do it it was extremely easy.
ObjectId(59fd5c30c1668e6f02250a3f),"This might sound dumb, but how do I send params with a service.get..?"
ObjectId(59fd5c30c1668e6f02250a40),"Hello all. Noob to feathers. I have a question regarding doing a mongodb $push on a JSON field using feathers. I read through a issue post on github https://github.com/feathersjs/feathers-mongoose/issues/165#issuecomment-282206324. There is some code at the bottom of the page that could be used to do the $push. My question is where would this code go? In a service hook? Or how can I make this work through a hook. Referenced code:
// Create a dummy Message
app.service('messages').create({
 text: 'Message created on server',
 items: [ 'a' ]
}).then(function(message) {
 return app.service('messages').update(message._id, {
   $push: { items: 'b' }
 });
}).then(message => console.log('Created and pushed message', message));
This part of the code I assume
app.service('messages').update(message._id, {
   $push: { items: 'b' }"
ObjectId(59fd5c30c1668e6f02250a41),"how-do-i-access-the-request-object-in-hooks-or-services"" target=""_bank"">https://docs.feathersjs.com/faq/readme.html#how-do-i-access-the-request-object-in-hooks-or-services"
ObjectId(59fd5c30c1668e6f02250a42),"this might help how-do-i-create-channels-or-rooms"" target=""_bank"">https://docs.feathersjs.com/faq/readme.html#how-do-i-create-channels-or-rooms"
ObjectId(59fd5c30c1668e6f02250a43),"hey, I've got a service set up which is essentially a key:value list of settings stored in a mongodb. The rest of my feathers app relies on these settings - how can I ensure these settings are loaded before trying to do anything else in the app? Can I hook/override the feathers ready functionality?"
ObjectId(59fd5c30c1668e6f02250a44),how do I populate the whole object that is returned from the service instead of assigning it to a field
ObjectId(59fd5c30c1668e6f02250a45),"Hello guys. I am facing a little problem here. I have an array of records that I want to insert/update in the database, and for each of these records I also need to insert/update data in another table. How do I do this with feathers? I am really lost here."
ObjectId(59fd5c30c1668e6f02250a46),"hi all, i couldn't understand how to do one2many relations"
ObjectId(59fd5c30c1668e6f02250a47),"That help to insert the dependence but how do I keep track of the data being inserted? Like in C# I would do something like this:
foreach(var item in myArray){
       item.id = methodThatInsertAndReturnId(item);
       // insert in other tables and etc...this could be in a hook I think
}
return myArray;   // With all generated Ids after insert.

But with feathers is all async. How would I do something similar?"
ObjectId(59fd5c30c1668e6f02250a48),How do I pass a JWT to feathers.authenticate()?
ObjectId(59fd5c30c1668e6f02250a49),"@daffl Yes, I'm aware I can do it on the featherjs frontend . Just wandering how to do it on backend, when frontend is not using feathersjs framework"
ObjectId(59fd5c30c1668e6f02250a4a),"How I could've done it on a regular express service was:
function(req, res) {
  var csv = GET_CSV_DATA

  res.setHeader('Content-disposition', 'attachment; filename=testing.csv');
  res.set('Content-Type', 'text/csv');
  res.status(200).send(csv);

}

But not sure how to do this with a feathers service."
ObjectId(59fd5c30c1668e6f02250a4b),"how-do-i-access-the-request-object-in-hooks-or-services"" target=""_bank"">https://docs.feathersjs.com/faq/readme.html#how-do-i-access-the-request-object-in-hooks-or-services"
ObjectId(59fd5c31c1668e6f02250a4c),"@leob those are the legacy docs, but even then @daffl shows on SO how to do it with legacy feathers. @zusamann This should help: how-to-response-a-plain-text-in-feathersjs-websocket-api"" target=""_bank"">https://stackoverflow.com/questions/44818726/how-to-response-a-plain-text-in-feathersjs-websocket-api
I define a feathers service api as below: class Monitor { find(_) { const metrics = prom.register.metrics(); log.info(metrics); return new Promise((resolve) => { resolve({t..."
ObjectId(59fd5c31c1668e6f02250a4d),"Hi all, one question please, in case I would like to implement 'user is typing' functionality in my chat app, what would be the right way to do this? How the client side is sending the event that the user typed something?"
ObjectId(59fd5c31c1668e6f02250a4e),"Feathers services are transport independent. Besides websockets we do want to support other transports in the future. Shoehorning the HTTP request/response cycle into those does not make a lot of sense (in fact, I believe that it’s mostly in the way of thinking about your application architecture in a more abstract way). Hooks are Feathers way to do the same thing that Express middleware does (I wrote about the design pattern behind both at https://blog.feathersjs.com/api-service-composition-with-hooks-47af13aa6c01).
In this quick post I’d like to talk about how to bring the continuation-passing style (known from Express middleware) and traditional…"
ObjectId(59fd5c31c1668e6f02250a4f),"Hi guys, I’m new at Feathers, I’m having a problem when testing it, I’m making the basic test to create and update users, in the end in the after function I remove the users from the database, the problem is that it keeps not working as the remove function of the model has a hook that it states that it must be authenticated to remove users, as obviously I’m not passing the Token on Users.remove(null, () => {}), how can I do this test?"
ObjectId(59fd5c31c1668e6f02250a50),"@pmiralopes Best might be to authenticate the user in the test. Otherwise you can consider making your test call like service.remove(... , { _isTest: true } } and conditioning your auth hook like iff(context => !context.params._isTest, authhook()).
Hi guys, I’m new at Feathers, I’m having a problem when testing it, I’m making the basic test to create and update users, in the end in the after function I remove the users from the database, the problem is that it keeps not working as the remove function of the model has a hook that it states that it must be authenticated to remove users, as obviously I’m not passing the Token on Users.remove(null, () => {}), how can I do this test?"
ObjectId(59fd5c31c1668e6f02250a51),"I'm trying to use an existing table. The default knex model doesn't really have a name. I actually have no idea how features is determining what to use.
/* eslint-disable no-console */

// source-types-model.js - A KnexJS
//
// See http://knexjs.org/
// for more of what you can do here.
module.exports = function (app) {
    const db = app.get('knexClient')

    // db.schema.hasTable('source-types').then(exists => {
    //     if(!exists) {
    //         db.schema.createTable('source-types', table => {
    //             table.string('name').primary()
    //         }).then(
    //             () => console.log('Updated source-types table'),
    //             e => console.error('Error updating source-types table', e)
    //         )
    //     }
    // })

    return db
}
"
ObjectId(59fd5c31c1668e6f02250a52),"how-do-i-do-associations"" target=""_bank"">https://docs.feathersjs.com/faq/readme.html#how-do-i-do-associations"
ObjectId(59fd5c31c1668e6f02250a53),🙋 ❓ how do I populate a field memberCount on after hook of a service? This memberCount will store the count of a collection exposed as a service
ObjectId(59fd5c31c1668e6f02250a54),How do I dispose of a feathers client after I am done using it ?
ObjectId(59fd5c31c1668e6f02250a55),"🙋 ❓ How do I populate an object e.g.
parent: {
  channelId: '123',
  meta: {}
}

I want to replace the populate parent with the channel details The output I'm expecting is
parent: {
  id: '123',
  name: 'Channel Name',
  meta: {}
}
"
ObjectId(59fd5c31c1668e6f02250a56),How do I install plugins in Feathers?
ObjectId(59fd5c31c1668e6f02250a57),❓ 🙋 How do I disable pagination from client side if the $limit is just 1?
ObjectId(59fd5c31c1668e6f02250a58),❓ 🙋 I made a hook for a service to create a resource in a collection (it succeeds) but the service fails to create a resource. Now I want to revert the created resource in the hook. How do I do it and at what point? Should I just do a softDelete in an after hook or should I do a hard delete?
ObjectId(59fd5c31c1668e6f02250a59),"❓ 🙋 I've two services channels and messages mounted to two routes i.e. /channels and /channels/:channelId/messages I've set setSlug('channelId', 'query.channelId') in the before hook of the messages. When I make a GET request to /channels/123/messages, it is handled by channels service instead of messages service. How do I make it consider the messages service instead of channels service at first."
ObjectId(59fd5c31c1668e6f02250a5a),"❓ 🙋 I've messages service mounted at /channels/:channelId/messages route and i'm using setSlug. How do I also mount the same service to /messages route? is this the correct way?
const serviceObj = createMessageService();
app.use('/channels/channelId/messages', serviceObj)
app.use('/messages', serviceObj)

it looks like this works but is that the right way to do it?"
ObjectId(59fd5c31c1668e6f02250a5b),I was meaning from within a hook I’ve written 🙂 I think I’ve worked out how to do it - with the hook.params.sequelize object and deep relation queries 🙂
ObjectId(59fd5c31c1668e6f02250a5c),Ah ok - thanks for your reply! that’s interesting to see I can pass through queries into the association itself. How do I translate that into hook.params.query format?
ObjectId(59fd5c31c1668e6f02250a5d),"And how do I specify include: [{ model: SomeModel, where: { foo: ""bar"" }}] in the hook.params.query object?"
ObjectId(59fd5c31c1668e6f02250a5e),"^ How can I do that with Object.assign(hook.params.query, { something: ""else"" });?"
ObjectId(59fd5c31c1668e6f02250a5f),"Hi all, a quick question with regards to dates and querying. I have a collection stored in mongodb with a string property containing a date in this format ""datePublishedEstimated"" : ""2017-07-18T00:00:00Z"", I would like to use feathers to query this data and get the latest. Any ideas how to do this?"
ObjectId(59fd5c31c1668e6f02250a60),"hello. I am new to node. I'm using the feathers-starter-react-redux-login-roles and am hooking up the features-mailer with smtp service. I have a seemingly trivial question, but can't quite figure it out. How do I access ""app"" in https://github.com/eddyystop/feathers-starter-react-redux-login-roles/blob/master/server/helpers/emails.js? adding ""const app = this"" gives me something else"
ObjectId(59fd5c31c1668e6f02250a61),Another question. If I'm using mongodb as service backend - how do I create a new entity which reference another mongodb document if I know the target's _id?
ObjectId(59fd5c32c1668e6f02250a62),"Hi, I have an entity that contains an array of id's and I need to populate that entity with the referenced id's, how can I do it using populate hook? Thanks!"
ObjectId(59fd5c32c1668e6f02250a63),Yeah. Seems like it was something to do with how the OAuth2 plugin was written. I just can’t remember. So it might be possible it’s not needed.
ObjectId(59fd5c32c1668e6f02250a64),ok. I am dying here. How do I call authenticated services from within the before hook of an authenticated service.
ObjectId(59fd5c32c1668e6f02250a65),"We realized a little bit ago that, that code branch doesn’t get triggered so you can use that as a general rule of what to do but @marshall is correct, you want to set up a hook to intercept a create and patch the user based on your criteria. When doing redirect based Oauth we need to sort out how we determine in the user is authenticated already. I don’t think that currently happens because during the OAuth flow I don’t think we check the JWT. That’s why the code branch doesn’t get fired. Currently we haven’t worked on something where we need to link multiple social accounts (lots of internal enterprise apps lately) so happy to take PRs if you can get it sorted @lowm4n 😄"
ObjectId(59fd5c32c1668e6f02250a66),hello everyone! I'm using feathers rest and have come up with a problem I can't seem to figure out. How do you query for null dates? Ex:users?email_confirmed_at[$ne]=null I get a postgres error saying Invalid Date
ObjectId(59fd5c32c1668e6f02250a67),"hi, not sure if this is mentioned in the docs. How do I restrict a service to only certain actions, for ex, only GET and POST allowed for messages resource."
ObjectId(59fd5c32c1668e6f02250a68),"hey @daffl! i would like to use 'feathers-reactive' in nuxt.js. i'm using it as a plugin and bind the service to a store variable so i can use it in my vue files:
async asyncData ( context ) {

  let data = await context.store.tickets.find()

  return {
	items: data
  }
}
this works like a charm but is not very reactive 😉 additionally i want to put it into the nuxt.js store so that i can access the service on every page. do you have an idea or example how i can use .subscribe() and bind it to a store variable? THX!!"
ObjectId(59fd5c32c1668e6f02250a69),"hi, i'm using nedb as a service ... as shown in the guide... i wanna query it for showing something using d3.... how to do so?"
ObjectId(59fd5c32c1668e6f02250a6a),"aaa yes, I can of course do this if I disable all the authentication hooks. but right now I have the following roles:[""editor""] on some of my users and I have hooks preventing me from querying for users I assume I need to add a role of ""editor-admin"" to a few select accounts then I need a hook to allow people with this role to search for users with the editor role but I am confused as to how to do this?"
ObjectId(59fd5c32c1668e6f02250a6b),"I would look up how to do it with Mongoose. You’ll probably have to use an aggreate (see how-to-use-group-by-with-find-in-mongoose"" target=""_bank"">https://stackoverflow.com/questions/43457380/how-to-use-group-by-with-find-in-mongoose). You can always access the Mongoose model via service.Model and modify the result in a hook to what you need by setting hook.result
I have collection named ""listing"" with fields such as metadata and status. metadata is a object containing user object inside and status is a string. The structure looks like this, { ""status"": """
ObjectId(59fd5c32c1668e6f02250a6c),"which I could do from how-do-i-forward-a-docker-machine-port-to-my-host-port-on-osx"" target=""_bank"">https://stackoverflow.com/questions/36286305/how-do-i-forward-a-docker-machine-port-to-my-host-port-on-osx
I’m delivering a private docker container in my company and want my colleagues to be able to access in our internal network, the problem is that my guest OS is OSX and as so I can only access my"
ObjectId(59fd5c32c1668e6f02250a6d),"I’m trying to implement email verification thanks to Feathers Authentication Management. I’m following this article how-to-setup-email-verification-in-feathersjs-72ce9882e744"" target=""_bank"">https://blog.feathersjs.com/how-to-setup-email-verification-in-feathersjs-72ce9882e744. I totally understand the process I’m just lost with were I have to put the different part of code in feathers. E.g. Where do I have to setup the Mail service ? Which file ?
(I am working on a boilerplate for Feathers-Vue that is semi-finished but you can begin working with it that uses the techniques shown in…"
ObjectId(59fd5c32c1668e6f02250a6e),"@harmony For example, how do I return “/index.html” at “/timeline” and “/account”? We are developing Single Page Application."
ObjectId(59fd5c32c1668e6f02250a6f),"@smixx what do you mean, this is a before hook. how am i suppose to set it to the result?"
ObjectId(59fd5c32c1668e6f02250a70),I don't know how the bindings to sequelize looks .. but with mongo/mongoose you have to do $where:{createdAt: '2017-08-13'}
ObjectId(59fd5c32c1668e6f02250a71),"hey guys, how do you retrive data like query select * from roles where DATE(""createdAt"") = '2017-08-13' in feathers? i try localhost:3030/roles?createdAt=2017-08-13 but not work. I guess its not working because it has different data type(datetime), so i create before hook to cast datatype to date. something like this if (hook.params.query.createdAt) { const where = Sequelize.where( Sequelize.cast(Sequelize.col('roles.createdAt'), 'DATE'), hook.params.query.createdAt); hook.params.query.where = where; }. but none of those is working. Any solution?"
ObjectId(59fd5c32c1668e6f02250a72),@luc.claustres so... i need to use emits to test the socketio services? How do I use the feathers client to test it?
ObjectId(59fd5c32c1668e6f02250a73),And how do I scale feathers on socket limit max? How do I know?
ObjectId(59fd5c32c1668e6f02250a74),"https://docs.feathersjs.com/guides/advanced/scaling.html#cluster-configuration
And how do I scale feathers on socket limit max? How do I know?"
ObjectId(59fd5c32c1668e6f02250a75),"Yer I have substituted for the advanced one. It's a straight swap. I did have a PR for it but I think at the time the preferred method was to keep the existing bulk method. I needed some additional features that the current one doesn't have. The advanced one will for example keep an array of all the errors and add them to the params, where as the existing adapter will create all valid documents but will throw a single error. So there is no way to manage all of the errors. Thanks @leob I guess what you do with the data either bulk or loop over the service just depends on how much data and what your doing with it I guess."
ObjectId(59fd5c32c1668e6f02250a76),"@dschnare Would it be possible to abstract this away by creating another “before” hook that pulls apart the array? However it then has to morph one “invocation” into multiple, not sure how one would go about that … by the way I can imagine that they chose this design because theoretically you might want to do something with the whole array inside the hook? (that’s a bit far fetched to be honest))"
ObjectId(59fd5c32c1668e6f02250a77),"@jacobez sorry! I didn't quite get it. How the filter work internally, btw? What about channels and how to do?"
ObjectId(59fd5c32c1668e6f02250a78),How do I add data to the jwt payload?
ObjectId(59fd5c32c1668e6f02250a79),it's not about multiple tabs. Let me explain it... I want to create a room and listen to that room. How to do it? Is it by listening to /:conversationId/messages?
ObjectId(59fd5c32c1668e6f02250a7a),"so I should create rooms and namespaces? Is there any limit to the total number of rooms? And how do I restrict a message sent to a particular room? A new message is created by posting to /messages. How do distribute it to the appropriate room? While creating a message, I'm providing a room id"
ObjectId(59fd5c33c1668e6f02250a7b),"I am using Postman to access my API via REST. On a 404 error, it is dumping SequelizeDatabaseError into the response, including the query! How do I stop this?"
ObjectId(59fd5c33c1668e6f02250a7c),"@danischenk commented on @danischenk’s file feathers socketio security question: Thanks for your help @daffl & @sieabah. I try to be more specific. I am using the auth-management plugin to handle user account actions like resetting the user password. I call a service method (create) from a client over socketio to my auth-management-service to reset the password by email. auth-management-service e.g. calls patch on the user-service. When I inspect the Frames in my client I can see an event ""user patched"" and this strange ""null"" event, but I don't want the client to get the user object by just calling ""reset my password with this mail address"". So, how do I avoid sending results of service method calls on user-service, which were made by auth-management-service? And I don't want to delete data in the user-service after-hook, because I need this data to be returned when I call the user-service from a completely different service."
ObjectId(59fd5c33c1668e6f02250a7d),"I am using Postman to access my API via REST. On a 404 error, it is dumping SequelizeDatabaseError into the response, including the query! How do I stop this?
Could you maybe put a gist together of some details? versions of your packages, gist of code, stacktrace, etc. etc."
ObjectId(59fd5c33c1668e6f02250a7e),"yeah, how do I manage the connection to the queue? How do I ensure that the connection has been made before I can use the service?"
